2026-03-17 11:27:10 [INFO   ] EmbedSim.output — EmbedSim init  T=0.04 s  dt=0.0001 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\output_20260317_112710.log
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002100 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002100 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002100 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002100 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002150 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002150 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002150 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002150 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002200 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00021  t=0.002200 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002200 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002200 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002250 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002250 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002250 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002250 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002300 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00022  t=0.002300 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002300 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002300 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002350 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002350 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002350 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002350 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002400 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00023  t=0.002400 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00024  t=0.002400 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00024  t=0.002400 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00024  t=0.002450 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00024  t=0.002450 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00024  t=0.002450 s  3phase_gen                      (ThreePhaseGenerator)
